,sigma_sq,alpha
834,4.322011186,16.50706344
835,3.338797111,11.34441995
836,3.159034301,9.63442319
837,2.802858074,8.893601006
838,2.613430306,10.19413825
839,3.569298121,13.24217775
840,2.365468314,12.10434682
841,4.195574691,10.74859284
842,5.008777625,18.91762155
843,2.855368987,12.86902507
844,3.532646833,10.85704367
845,3.241534879,12.72721581
846,2.900930697,14.73293875
847,3.457056532,11.47280242
848,2.522231404,14.12308635
849,3.180416237,15.66801247
850,2.676587597,15.76290642
851,2.613783862,12.50619316
852,2.436069851,11.6285303
853,2.931808403,13.74989622
854,3.682228518,10.16239598
855,2.739936123,10.55013461
856,4.247038437,14.17665629
857,4.079511751,18.44105588
858,2.463752779,11.48267803
859,3.44588319,10.96773101
860,2.476703326,13.45608484
861,2.337998265,16.18694956
862,3.398170194,12.73766419
863,2.536082219,11.68114058
864,3.084893029,11.75552497
865,3.162400757,20.53215718
866,2.883104473,15.18089535
867,3.052456497,12.08491067
868,3.46369038,10.78765029
869,2.923335425,14.16192169
870,2.673764243,13.27975792
871,3.317296614,13.32107141
872,3.159075076,9.757112318
873,3.017377973,14.58237238
874,3.191985882,12.74737882
875,2.710386452,12.29556461
876,2.156325225,17.50461302
877,2.846748218,14.10496248
878,3.009545244,11.92159475
879,2.923884408,10.61163567
880,2.967172745,8.972224669
881,3.472840583,15.11723731
882,2.581828935,13.64004521
883,2.369052598,12.24594552
884,2.959920725,10.56364497
885,2.464073365,12.24185422
886,3.198316058,10.11398483
887,3.34544946,12.63636497
888,2.908493938,13.13297982
889,2.738474265,12.45440445
890,2.390970187,15.81435118
891,2.754668871,11.52983066
892,3.072776285,10.74447684
893,3.080935606,15.44546647
894,2.581518674,15.65155505
895,2.712415956,12.86457709
896,3.871207381,10.46391617
897,2.499349798,14.7790179
898,2.843401624,15.42535505
899,3.820719342,11.33411209
900,2.969095334,13.29084291
901,2.769959419,16.83960863
902,2.482583807,11.14942816
903,2.959721049,9.757020365
904,2.675553079,13.61066339
905,3.195738872,11.99388301
906,3.813618711,9.989251235
907,3.129939786,18.04655848
908,4.093865809,12.03406884
909,2.574987239,13.93077555
910,4.738444035,12.56757863
911,2.142279217,10.49055536
912,2.744551609,14.06661893
913,3.070462053,10.26765792
914,3.306511562,10.64174742
915,4.472366197,15.69157419
916,2.751653603,9.135411561
917,2.567391672,15.3060047
918,3.152048963,23.91603997
919,3.647319082,12.61045259
920,4.244519825,11.52477456
921,2.79513827,13.49844084
922,3.196516124,12.56376784
923,3.032484761,12.33203874
924,3.749076457,9.103375309
